,단지명,계약년,도로명,동,거래금액평균(만원)
0,(1159-181),2014, ,대연동,11930.0
1,(1482-11),2012,달맞이길117번가길 195,중동,17750.0
2,(1482-11),2014,달맞이길117번가길 195,중동,18500.0
3,(1482-11),2016,달맞이길117번가길 195,중동,20100.0
4,(163-0),2012,구덕로305번길 47,서대신동2가,7621.53
5,(163-0),2017,구덕로305번길 47,서대신동2가,9200.0
6,(18-1),2015,대영로45번길 52,서대신동2가,17076.67
7,(18-1),2016,대영로45번길 52,서대신동2가,14786.67
8,(18-1),2017,대영로45번길 52,서대신동2가,17300.0
9,(18-1),2021,대영로45번길 52,서대신동2가,16700.0
10,(188-0),2016,해운대로89번길 13,재송동,22000.0
11,(188-0),2020,해운대로89번길 13,재송동,24000.0
12,(188-0),2021,해운대로89번길 13,재송동,27000.0
13,(207-3),2017,서동로 193-18,서동,17414.0
14,(207-3),2018,서동로 193-18,서동,17309.09
15,(207-3),2019,서동로 193-18,서동,16350.0
16,(207-3),2020,서동로 193-18,서동,16330.0
17,(207-3),2021,서동로 193-18,서동,17466.67
18,(219-19),2018,개금본동로9번길 65-1,개금동,24764.67
19,(219-19),2019,개금본동로9번길 65-1,개금동,23000.0
20,(257-37),2019,월내해안길 117,장안읍,17922.22
21,(317-10),2016,수영로267번길 60,대연동,19300.0
22,(317-10),2017,수영로267번길 60,대연동,19700.0
23,(317-10),2018,수영로267번길 60,대연동,19300.0
24,(503-12),2013,하신번영로312번길 31,하단동,11700.0
25,(503-12),2014,하신번영로312번길 31,하단동,14000.0
26,(503-12),2015,하신번영로312번길 31,하단동,12925.0
27,(503-12),2015,하신번영로312번길 35,하단동,12900.0
28,(503-12),2016,하신번영로312번길 31,하단동,13250.0
29,(503-12),2020,하신번영로312번길 35,하단동,14250.0
30,(503-12),2021,하신번영로312번길 35,하단동,15500.0
31,(605-14),2012,식물원로27번길 14,장전동,7900.0
32,(605-14),2013,식물원로27번길 14,장전동,9600.0
33,(605-14),2019,식물원로27번길 14,장전동,7800.0
34,(76-0),2016,구덕로301번길 12,서대신동2가,32000.0
35,(83-1),2013,구덕로301번길 15,서대신동2가,8000.0
36,(83-1),2014,구덕로301번길 15,서대신동2가,4900.0
37,(83-1),2017,구덕로301번길 15,서대신동2가,9500.0
38,(83-1),2021,구덕로301번길 15,서대신동2가,11000.0
39,(888-1),2012,하신번영로 300,하단동,21000.0
40,(888-1),2013,하신번영로 300,하단동,18468.86
41,(888-1),2014,하신번영로 300,하단동,16250.0
42,(888-1),2015,하신번영로 300,하단동,17966.67
43,(888-1),2016,하신번영로 300,하단동,16500.0
44,(888-1),2017,하신번영로 300,하단동,17050.0
45,(888-1),2018,하신번영로 300,하단동,17000.0
46,(888-1),2020,하신번영로 300,하단동,21400.0
47,(888-1),2021,하신번영로 300,하단동,17037.5
48,(96-6),2015,수영로49번나길 38,문현동,5000.0
49,(신)건아맨션,2013,중리남로 27,동삼동,7800.0
50,(신)건아맨션,2016,중리남로 27,동삼동,11800.0
51,(신)건아맨션,2021,중리남로 27,동삼동,13900.0
52,(용호맨션),2012,용호로232번길 7,용호동,10000.0
53,(용호맨션),2013,용호로232번길 7,용호동,9750.0
54,(용호맨션),2014,용호로232번길 7,용호동,8400.0
55,(용호맨션),2015,용호로232번길 7,용호동,9535.0
56,(용호맨션),2016,용호로232번길 7,용호동,10300.0
57,(용호맨션),2017,용호로232번길 7,용호동,9933.33
58,(용호맨션),2018,용호로232번길 7,용호동,11500.0
59,(용호맨션),2021,용호로232번길 7,용호동,10500.0
60,1차삼성,2012,대동로 148-29,학장동,14323.53
61,1차삼성,2013,대동로 148-29,학장동,14279.69
62,1차삼성,2014,대동로 148-29,학장동,14506.59
63,1차삼성,2015,대동로 148-29,학장동,14345.12
64,1차삼성,2016,대동로 148-29,학장동,15398.94
65,1차삼성,2017,대동로 148-29,학장동,16540.91
66,1차삼성,2018,대동로 148-29,학장동,15508.33
67,1차삼성,2019,대동로 148-29,학장동,14200.0
68,1차삼성,2020,대동로 148-29,학장동,14836.25
69,1차삼성,2021,대동로 148-29,학장동,14914.0
70,76시영,2012,사직북로 66,사직동,7914.74
71,76시영,2012,사직북로 71-13,사직동,7633.33
72,76시영,2012,사직북로 71-6,사직동,7700.0
73,76시영,2013,사직북로 66,사직동,8533.33
74,7차청탑그린빌라,2012,흑교로71번길 18-1,보수동3가,15750.0
75,7차청탑그린빌라,2014,흑교로71번길 18-1,보수동3가,20500.0
76,7차청탑그린빌라,2015,흑교로71번길 18-1,보수동3가,20000.0
77,7차청탑그린빌라,2017,흑교로71번길 18-1,보수동3가,21833.33
78,7차청탑그린빌라,2020,흑교로71번길 18-1,보수동3가,16900.0
79,7차청탑그린빌라,2021,흑교로71번길 18-1,보수동3가,22500.0
80,AURUM,2015,거제천로152번길 40,연산동,5444.06
81,GK하늘숲,2015,가야대로 476-10,개금동,24075.0
82,GK하늘숲,2019,가야대로 476-10,개금동,18500.0
83,GLG스파타운,2012,충렬대로100번길 12,온천동,15000.0
84,GLG스파타운,2013,충렬대로100번길 12,온천동,17800.0
85,GLG스파타운,2015,충렬대로100번길 12,온천동,18875.0
86,GL타운A,2017,구덕로315번길 9,서대신동2가,25250.0
87,GL타운A,2021,구덕로315번길 9,서대신동2가,20333.33
88,GL타운B,2015,구덕로315번길 7,서대신동2가,21179.25
89,GL타운B,2018,구덕로315번길 7,서대신동2가,22900.0
90,GL타운B,2020,구덕로315번길 7,서대신동2가,22650.0
91,GL타운B,2021,구덕로315번길 7,서대신동2가,22200.0
92,GS하이츠자이,2012,신선로 566,용호동,55197.27
93,GS하이츠자이,2013,신선로 566,용호동,49444.23
94,GS하이츠자이,2014,신선로 566,용호동,51469.33
95,GS하이츠자이,2015,신선로 566,용호동,54625.54
96,GS하이츠자이,2016,신선로 566,용호동,62013.89
97,GS하이츠자이,2017,신선로 566,용호동,71108.82
98,GS하이츠자이,2018,신선로 566,용호동,69658.9
99,GS하이츠자이,2019,신선로 566,용호동,71264.9
100,GS하이츠자이,2020,신선로 566,용호동,85806.91
101,GS하이츠자이,2021,신선로 566,용호동,129590.91
102,HY원룸,2014,부전로 101,부전동,5633.33
103,HY원룸,2015,부전로 101,부전동,8400.0
104,HY원룸,2016,부전로 101,부전동,7700.0
105,HY원룸,2017,부전로 101,부전동,7650.0
106,HY원룸,2018,부전로 101,부전동,5200.0
107,HY원룸,2019,부전로 101,부전동,8585.0
108,HY원룸,2020,부전로 101,부전동,8300.0
